#=====================================================
# File created:        Sun-26-Oct-2025-at-07-06-48PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        8.610912
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00140    0.4175   -1233.6409  0.4159 
   00141    0.4275   -1243.1997  0.4174 
   00142    0.3550   -1228.4706  0.4067 
   00143    0.4425   -1227.2660  0.3925 
   00144    0.4175   -1243.2110  0.4100 
   00145    0.4250   -1223.5015  0.3979 
   00146    0.4375   -1200.7212  0.4072 
   00147    0.3950   -1185.5865  0.4169 
   00148    0.4600   -1179.1567  0.4288 
   00149    0.4050   -1189.9668  0.4425 
   00150    0.4450   -1212.3950  0.4455 
   00151    0.3750   -1210.1918  0.4463 
   00152    0.4175   -1208.3402  0.4559 
   00153    0.4200   -1217.7057  0.4443 
   00154    0.4425   -1170.0374  0.4367 
   00155    0.4275   -1170.5760  0.4291 
   00156    0.4275   -1175.7534  0.4224 
   00157    0.4475   -1173.6037  0.4238 
   00158    0.4325   -1187.6083  0.4093 
   00159    0.4525   -1180.3529  0.4065 
   00160    0.4400   -1184.6822  0.4332 
   00161    0.4200   -1178.8596  0.4224 
   00162    0.4100   -1216.6965  0.4250 
   00163    0.4375   -1210.0474  0.4123 
   00164    0.4525   -1202.6079  0.4067 
   00165    0.4025   -1198.4359  0.4105 
   00166    0.4100   -1212.7403  0.4209 
   00167    0.4450   -1229.9155  0.4271 
   00168    0.4375   -1231.1295  0.4319 
   00169    0.3800   -1238.8201  0.4614 
   00170    0.4200   -1234.6361  0.4464 
   00171    0.4000   -1243.4103  0.4364 
   00172    0.4475   -1232.8817  0.4211 
   00173    0.4050   -1261.2917  0.4554 
   00174    0.3475   -1254.9253  0.4554 
   00175    0.4025   -1261.6722  0.4593 
   00176    0.4025   -1255.5280  0.4681 
   00177    0.4150   -1265.7488  0.4707 
   00178    0.3925   -1259.6212  0.4833 
   00179    0.3950   -1237.4433  0.4828 
   00180    0.3825   -1249.6733  0.4869 
   00181    0.4300   -1240.3954  0.4807 
   00182    0.4050   -1226.3757  0.4759 
   00183    0.3875   -1221.1021  0.4774 
   00184    0.4100   -1222.7834  0.4674 
   00185    0.4625   -1224.8216  0.4760 
   00186    0.4025   -1224.6422  0.4965 
   00187    0.4225   -1245.9256  0.5105 
   00188    0.4250   -1225.2182  0.5064 
   00189    0.4150   -1241.8003  0.4960 
   00190    0.4200   -1206.9153  0.4940 
   00191    0.4050   -1192.8710  0.4816 
   00192    0.3775   -1200.6535  0.4672 
   00193    0.4550   -1213.5231  0.4758 
   00194    0.4675   -1183.2536  0.4777 
   00195    0.3825   -1186.3316  0.4769 
