#=====================================================
# File created:        Sun-26-Oct-2025-at-07-07-45PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.586689
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00140    0.5125   -1231.9006  0.3993 
   00141    0.5250   -1215.5399  0.3888 
   00142    0.5625   -1232.9997  0.3847 
   00143    0.5700   -1225.1567  0.3967 
   00144    0.5575   -1212.7706  0.3847 
   00145    0.5525   -1230.0018  0.3873 
   00146    0.5275   -1200.7255  0.3889 
   00147    0.5550   -1212.5452  0.3983 
   00148    0.5225   -1199.3895  0.3991 
   00149    0.6200   -1198.9529  0.3928 
   00150    0.5500   -1231.6738  0.3996 
   00151    0.5700   -1238.9684  0.3824 
   00152    0.5725   -1230.3114  0.4028 
   00153    0.5425   -1223.7411  0.4025 
   00154    0.5050   -1223.4506  0.4054 
   00155    0.5475   -1227.6376  0.3994 
   00156    0.5175   -1205.0439  0.3940 
   00157    0.5000   -1221.2355  0.3896 
   00158    0.5275   -1219.5329  0.3779 
   00159    0.5075   -1213.7965  0.3955 
   00160    0.5425   -1251.7774  0.3982 
   00161    0.5400   -1242.5534  0.3977 
   00162    0.5450   -1219.8475  0.3876 
   00163    0.5375   -1214.0793  0.3896 
   00164    0.5350   -1217.8173  0.3978 
   00165    0.5275   -1239.5597  0.4111 
   00166    0.4650   -1262.0736  0.4237 
   00167    0.4825   -1253.4939  0.4313 
   00168    0.4675   -1232.1455  0.4149 
   00169    0.5075   -1221.3027  0.4251 
   00170    0.5425   -1212.8032  0.3938 
   00171    0.5475   -1217.9325  0.3993 
   00172    0.5275   -1222.1192  0.4004 
   00173    0.5250   -1246.5974  0.4090 
   00174    0.5000   -1246.8645  0.3975 
   00175    0.5150   -1244.2116  0.4055 
   00176    0.5200   -1227.0435  0.4059 
   00177    0.5150   -1222.1131  0.4176 
   00178    0.5425   -1222.2561  0.4410 
   00179    0.5875   -1204.7502  0.4248 
   00180    0.5550   -1204.3849  0.4201 
   00181    0.5175   -1194.1087  0.4223 
   00182    0.5200   -1197.2639  0.4309 
   00183    0.5650   -1229.5509  0.4198 
   00184    0.5825   -1250.0272  0.4257 
   00185    0.5425   -1233.5204  0.4203 
   00186    0.5375   -1213.2785  0.4266 
   00187    0.5200   -1202.1052  0.4228 
   00188    0.5000   -1208.7687  0.4406 
   00189    0.5725   -1187.0745  0.4316 
   00190    0.5375   -1196.2613  0.4430 
   00191    0.5625   -1208.1181  0.4338 
   00192    0.5575   -1208.0542  0.4191 
   00193    0.5350   -1191.8869  0.4368 
   00194    0.5675   -1191.4503  0.4343 
   00195    0.5175   -1183.8928  0.4389 
   00196    0.5125   -1180.4503  0.4328 
   00197    0.5700   -1182.2024  0.4391 
   00198    0.5250   -1180.1208  0.4520 
   00199    0.5725   -1201.2426  0.4503 
   00200    0.5850   -1215.3016  0.4534 
   00201    0.5575   -1190.1211  0.4445 
   00202    0.5675   -1191.3188  0.4480 
   00203    0.5500   -1190.5457  0.4416 
   00204    0.5500   -1174.5238  0.4378 
   00205    0.4950   -1157.6158  0.4375 
   00206    0.5875   -1180.2851  0.4405 
   00207    0.5925   -1164.9434  0.4462 
   00208    0.5575   -1167.1950  0.4451 
   00209    0.5325   -1203.6926  0.4455 
   00210    0.5350   -1212.4241  0.4213 
   00211    0.5250   -1215.3984  0.4053 
   00212    0.5375   -1237.9639  0.4230 
   00213    0.5200   -1238.7808  0.4225 
   00214    0.5075   -1237.9128  0.4170 
   00215    0.5425   -1244.6711  0.4246 
   00216    0.4725   -1242.2279  0.4335 
   00217    0.5300   -1227.5660  0.4226 
   00218    0.6075   -1235.6764  0.4392 
   00219    0.5625   -1198.4220  0.4334 
   00220    0.5425   -1224.8690  0.4401 
   00221    0.5200   -1219.4077  0.4398 
   00222    0.5600   -1230.0451  0.4184 
   00223    0.5350   -1233.5083  0.4301 
   00224    0.5575   -1236.6338  0.4286 
   00225    0.5550   -1222.1025  0.4240 
   00226    0.5050   -1235.0466  0.4403 
   00227    0.5075   -1229.4730  0.4257 
   00228    0.5875   -1238.8246  0.4279 
   00229    0.5175   -1235.4234  0.4438 
   00230    0.5225   -1214.7859  0.4684 
   00231    0.5525   -1201.9047  0.4795 
   00232    0.5575   -1241.6855  0.4680 
   00233    0.5025   -1233.1382  0.4482 
   00234    0.5350   -1215.2858  0.4560 
   00235    0.5675   -1192.9270  0.4642 
   00236    0.5025   -1176.4542  0.4585 
   00237    0.5600   -1199.0375  0.4658 
   00238    0.5700   -1207.4485  0.4794 
   00239    0.5600   -1223.3140  0.5036 
   00240    0.5575   -1209.6371  0.4943 
   00241    0.5300   -1214.3011  0.5021 
   00242    0.4975   -1206.4218  0.4972 
   00243    0.5300   -1207.0878  0.4978 
   00244    0.5450   -1216.3277  0.4814 
   00245    0.5700   -1226.8259  0.4964 
   00246    0.5075   -1228.0221  0.4881 
   00247    0.5200   -1224.1561  0.4751 
   00248    0.5650   -1206.8117  0.4663 
   00249    0.5525   -1227.0089  0.4760 
   00250    0.5275   -1197.2858  0.4790 
   00251    0.4975   -1217.3918  0.4773 
   00252    0.5350   -1204.5960  0.4710 
   00253    0.5750   -1198.8947  0.4636 
   00254    0.5600   -1183.9282  0.4607 
   00255    0.6025   -1196.7790  0.4738 
   00256    0.5425   -1197.9199  0.4767 
   00257    0.5425   -1192.8420  0.4839 
   00258    0.5225   -1182.2737  0.5078 
   00259    0.5800   -1184.5913  0.5006 
   00260    0.5325   -1174.9386  0.4829 
   00261    0.5500   -1174.5090  0.4888 
