#=====================================================
# File created:        Mon-03-Nov-2025-at-08-57-45PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        9.280089
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00140    0.4143   -1222.6532  0.7167 
   00141    0.4071   -1222.5658  0.7112 
   00142    0.4286   -1217.9487  0.6947 
   00143    0.3875   -1200.6465  0.6866 
   00144    0.4143   -1195.1271  0.6917 
   00145    0.4268   -1176.6260  0.6996 
   00146    0.4071   -1195.2583  0.6892 
   00147    0.4232   -1172.7598  0.6782 
   00148    0.3875   -1183.0363  0.7022 
   00149    0.4125   -1182.0164  0.6989 
   00150    0.4125   -1181.8402  0.6880 
   00151    0.4250   -1170.3465  0.6772 
   00152    0.4125   -1192.8119  0.6709 
   00153    0.4071   -1208.2571  0.6678 
   00154    0.4339   -1210.8591  0.6688 
   00155    0.4393   -1206.2042  0.6705 
   00156    0.4179   -1198.1952  0.6783 
   00157    0.4286   -1220.9307  0.6906 
   00158    0.4143   -1245.1164  0.7056 
   00159    0.4054   -1243.8715  0.6999 
   00160    0.4071   -1220.0015  0.7079 
   00161    0.3875   -1229.2903  0.7151 
   00162    0.4143   -1232.5004  0.7205 
   00163    0.3732   -1210.0084  0.7182 
   00164    0.3964   -1203.8273  0.7150 
   00165    0.3929   -1215.4549  0.7273 
   00166    0.3893   -1233.2087  0.7255 
   00167    0.4321   -1241.6872  0.7181 
   00168    0.4089   -1277.7435  0.7261 
   00169    0.4018   -1262.2130  0.7347 
   00170    0.4429   -1233.0543  0.7473 
   00171    0.4232   -1217.2416  0.7553 
   00172    0.4054   -1251.7509  0.7746 
   00173    0.4375   -1234.9001  0.7637 
   00174    0.3929   -1240.2592  0.7610 
   00175    0.4375   -1230.6540  0.7635 
   00176    0.3911   -1216.7708  0.7657 
   00177    0.4357   -1219.7781  0.7702 
   00178    0.4286   -1210.9172  0.7615 
   00179    0.3982   -1217.0847  0.7585 
   00180    0.3982   -1228.0193  0.7481 
   00181    0.4161   -1221.5247  0.7461 
   00182    0.4357   -1227.2117  0.7384 
   00183    0.4179   -1243.9016  0.7399 
   00184    0.4000   -1240.5262  0.7377 
   00185    0.3911   -1241.4160  0.7262 
   00186    0.4107   -1218.1002  0.7148 
   00187    0.4268   -1237.7272  0.7224 
   00188    0.4036   -1242.6708  0.7293 
   00189    0.4214   -1233.5117  0.7307 
   00190    0.4250   -1259.3789  0.7408 
   00191    0.3786   -1236.0722  0.7346 
   00192    0.4393   -1220.9983  0.7208 
   00193    0.4250   -1220.7066  0.7135 
   00194    0.4393   -1178.7772  0.6967 
   00195    0.4339   -1190.6411  0.7026 
   00196    0.3893   -1181.9599  0.6917 
   00197    0.4589   -1207.2141  0.7228 
   00198    0.4143   -1212.0275  0.7189 
   00199    0.4179   -1216.6413  0.7197 
   00200    0.4714   -1214.7283  0.7126 
   00201    0.4107   -1190.1632  0.7074 
   00202    0.4375   -1188.8659  0.7167 
   00203    0.4089   -1176.1597  0.7000 
   00204    0.4679   -1206.1569  0.6966 
   00205    0.4250   -1211.7052  0.6880 
   00206    0.4000   -1207.8321  0.6926 
   00207    0.4107   -1219.5610  0.7036 
   00208    0.4321   -1195.0536  0.6891 
   00209    0.4393   -1213.4687  0.7112 
   00210    0.4411   -1198.5667  0.7106 
   00211    0.4232   -1209.6783  0.7360 
   00212    0.4196   -1200.7981  0.7391 
   00213    0.4143   -1204.0350  0.7626 
   00214    0.4161   -1212.2952  0.7740 
   00215    0.4000   -1231.4814  0.7811 
   00216    0.4589   -1224.7641  0.7840 
   00217    0.4321   -1217.4816  0.7825 
   00218    0.4232   -1236.5090  0.7939 
   00219    0.4161   -1239.6032  0.8043 
   00220    0.3857   -1250.3521  0.8091 
   00221    0.4018   -1231.2124  0.7939 
   00222    0.4357   -1223.5866  0.7810 
   00223    0.4000   -1230.5203  0.7864 
   00224    0.4125   -1248.1320  0.7989 
   00225    0.3571   -1236.4067  0.7871 
   00226    0.3911   -1233.1766  0.7927 
   00227    0.4000   -1234.1077  0.7951 
   00228    0.4411   -1235.2086  0.8040 
   00229    0.4232   -1249.9971  0.7964 
   00230    0.4018   -1292.9820  0.8239 
   00231    0.4214   -1289.1963  0.8286 
   00232    0.3875   -1292.4923  0.8185 
   00233    0.3929   -1291.8076  0.8168 
   00234    0.3893   -1288.6704  0.8228 
   00235    0.3929   -1282.6619  0.8217 
   00236    0.3714   -1266.6984  0.8105 
   00237    0.4214   -1262.1479  0.8080 
   00238    0.3946   -1260.7458  0.8180 
   00239    0.4232   -1264.3886  0.8218 
   00240    0.4018   -1259.3930  0.8222 
   00241    0.4143   -1263.0510  0.8198 
   00242    0.3982   -1224.7674  0.8074 
   00243    0.3839   -1224.7687  0.7974 
   00244    0.4232   -1254.8936  0.8144 
   00245    0.4018   -1241.8425  0.8058 
   00246    0.3946   -1249.4928  0.7944 
   00247    0.4482   -1244.4315  0.8004 
   00248    0.4107   -1248.9020  0.8144 
   00249    0.4054   -1271.2123  0.8148 
   00250    0.4036   -1284.5200  0.8224 
   00251    0.3946   -1299.8184  0.8335 
   00252    0.4089   -1273.7945  0.8287 
   00253    0.4143   -1230.0661  0.8170 
   00254    0.4250   -1230.7367  0.8083 
   00255    0.4036   -1253.4288  0.8132 
   00256    0.3839   -1261.6049  0.8241 
   00257    0.3946   -1268.1072  0.8259 
   00258    0.3857   -1279.5593  0.8229 
   00259    0.4232   -1263.6100  0.8166 
   00260    0.4321   -1261.9075  0.8036 
   00261    0.4071   -1274.8322  0.8150 
   00262    0.4321   -1253.2249  0.8003 
   00263    0.4071   -1259.7345  0.8036 
   00264    0.4196   -1269.5802  0.8017 
   00265    0.4179   -1264.1781  0.8072 
   00266    0.3857   -1269.0303  0.8035 
   00267    0.3839   -1284.4497  0.8167 
   00268    0.3964   -1276.6782  0.8121 
   00269    0.4196   -1267.4597  0.7972 
   00270    0.4196   -1259.7625  0.7985 
   00271    0.4268   -1244.4691  0.7941 
   00272    0.4357   -1237.6639  0.8026 
   00273    0.4000   -1200.3966  0.7987 
   00274    0.3821   -1231.2034  0.8053 
   00275    0.4071   -1229.7836  0.8051 
   00276    0.4250   -1230.5111  0.8005 
   00277    0.4107   -1229.0314  0.8033 
   00278    0.4589   -1234.1235  0.7901 
   00279    0.3982   -1228.7537  0.7922 
   00280    0.3893   -1229.1977  0.7971 
   00281    0.4089   -1206.4584  0.7837 
   00282    0.4679   -1216.2390  0.7847 
   00283    0.4179   -1251.8088  0.7989 
   00284    0.4018   -1257.4979  0.8102 
   00285    0.4089   -1253.1525  0.8087 
   00286    0.3875   -1252.2589  0.8061 
   00287    0.4089   -1251.0850  0.8076 
   00288    0.4018   -1244.7934  0.8206 
   00289    0.4125   -1253.8255  0.8151 
   00290    0.3839   -1249.7651  0.8223 
   00291    0.3911   -1239.5457  0.8261 
   00292    0.4000   -1248.5147  0.8411 
   00293    0.3875   -1242.0884  0.8316 
   00294    0.4375   -1244.6126  0.8300 
   00295    0.4429   -1234.3570  0.8204 
   00296    0.4161   -1243.3547  0.8188 
   00297    0.4000   -1232.7408  0.8126 
   00298    0.4125   -1241.0679  0.8199 
   00299    0.4214   -1258.5805  0.8328 
   00300    0.3929   -1258.4979  0.8335 
   00301    0.4161   -1265.6722  0.8449 
   00302    0.4179   -1278.7529  0.8453 
   00303    0.3696   -1277.6061  0.8508 
   00304    0.3875   -1254.3874  0.8454 
   00305    0.4125   -1251.9244  0.8378 
   00306    0.3964   -1259.3852  0.8455 
   00307    0.3821   -1280.9616  0.8519 
   00308    0.4214   -1308.5656  0.8630 
   00309    0.3893   -1299.3398  0.8581 
   00310    0.4054   -1298.8537  0.8506 
   00311    0.3982   -1304.9684  0.8516 
   00312    0.3679   -1314.4144  0.8561 
   00313    0.4179   -1298.7977  0.8468 
   00314    0.4089   -1287.5106  0.8380 
   00315    0.4054   -1287.5726  0.8382 
   00316    0.3911   -1280.5160  0.8368 
   00317    0.4214   -1290.1402  0.8287 
   00318    0.3875   -1255.0226  0.8198 
   00319    0.4339   -1273.5339  0.8215 
   00320    0.4071   -1278.4711  0.8181 
   00321    0.4089   -1290.7084  0.8132 
   00322    0.4054   -1265.9525  0.8024 
   00323    0.3929   -1278.2515  0.8188 
   00324    0.4036   -1280.7895  0.8181 
   00325    0.4214   -1248.1495  0.8102 
   00326    0.4000   -1252.4408  0.8106 
   00327    0.4286   -1265.4986  0.8029 
   00328    0.3964   -1247.4823  0.7939 
   00329    0.4018   -1252.8755  0.8056 
   00330    0.3821   -1245.1751  0.7949 
   00331    0.4036   -1251.8705  0.8048 
   00332    0.4268   -1272.4433  0.8142 
   00333    0.3786   -1269.6410  0.8218 
   00334    0.3911   -1290.4354  0.8202 
   00335    0.4339   -1283.0117  0.8109 
   00336    0.3964   -1294.8941  0.8124 
   00337    0.3875   -1286.0948  0.7993 
   00338    0.4196   -1260.4072  0.7915 
   00339    0.4161   -1251.5742  0.7909 
   00340    0.3804   -1288.2988  0.8068 
   00341    0.4089   -1245.5828  0.7895 
   00342    0.4036   -1257.4732  0.7926 
   00343    0.3911   -1268.4577  0.7907 
   00344    0.4339   -1280.7681  0.7882 
   00345    0.4161   -1268.3046  0.7753 
   00346    0.3911   -1263.6791  0.7511 
   00347    0.4018   -1279.8243  0.7603 
   00348    0.3821   -1274.6828  0.7522 
   00349    0.3625   -1263.9594  0.7401 
   00350    0.4089   -1261.4056  0.7466 
   00351    0.3946   -1246.4663  0.7506 
   00352    0.3893   -1249.3386  0.7516 
   00353    0.4268   -1279.1396  0.7606 
   00354    0.3714   -1285.7294  0.7537 
   00355    0.4000   -1281.1696  0.7451 
   00356    0.3857   -1264.3890  0.7375 
   00357    0.3839   -1259.8336  0.7409 
   00358    0.4286   -1241.2993  0.7388 
   00359    0.4161   -1240.6685  0.7531 
   00360    0.4232   -1226.5142  0.7531 
   00361    0.4232   -1240.6687  0.7632 
   00362    0.4571   -1249.3290  0.7739 
   00363    0.4107   -1271.0965  0.7775 
   00364    0.3696   -1289.3661  0.7926 
   00365    0.4054   -1274.7815  0.7872 
   00366    0.4107   -1274.5186  0.7770 
   00367    0.4214   -1264.2398  0.7777 
   00368    0.3893   -1264.1875  0.7841 
   00369    0.4196   -1249.6016  0.7752 
   00370    0.4036   -1230.6147  0.7702 
   00371    0.3839   -1231.8207  0.7657 
   00372    0.3839   -1238.8124  0.7599 
   00373    0.3839   -1232.8720  0.7669 
   00374    0.3929   -1243.6508  0.7683 
   00375    0.4232   -1249.3674  0.7696 
   00376    0.3893   -1212.5677  0.7504 
   00377    0.4000   -1220.6259  0.7602 
   00378    0.3875   -1232.1613  0.7576 
   00379    0.4304   -1244.8388  0.7730 
   00380    0.3982   -1245.5102  0.7734 
   00381    0.3982   -1255.7629  0.7799 
   00382    0.3857   -1258.8926  0.7854 
   00383    0.3714   -1253.9832  0.7822 
   00384    0.3929   -1252.1796  0.7806 
   00385    0.3893   -1286.4355  0.7907 
   00386    0.3911   -1266.7109  0.7745 
   00387    0.4036   -1260.8847  0.7735 
   00388    0.4500   -1248.2443  0.7740 
   00389    0.4196   -1236.6727  0.7628 
   00390    0.4107   -1240.9551  0.7756 
   00391    0.3929   -1244.4981  0.7813 
   00392    0.4018   -1234.4439  0.7717 
   00393    0.3946   -1215.5170  0.7734 
   00394    0.4089   -1230.6936  0.7765 
   00395    0.3839   -1208.2784  0.7655 
   00396    0.4036   -1212.6456  0.7784 
   00397    0.3857   -1239.8206  0.7870 
   00398    0.3857   -1255.6221  0.7892 
   00399    0.3839   -1263.3989  0.8155 
   00400    0.4089   -1268.8494  0.8270 
   00401    0.3446   -1268.2515  0.8283 
   00402    0.4107   -1278.9942  0.8228 
   00403    0.3911   -1279.1084  0.8223 
   00404    0.3821   -1259.0181  0.8166 
   00405    0.3696   -1263.0241  0.8166 
   00406    0.3911   -1268.1196  0.8098 
   00407    0.4054   -1267.0278  0.8165 
   00408    0.3821   -1267.6420  0.8154 
   00409    0.3982   -1274.2478  0.8170 
   00410    0.3821   -1264.6125  0.8040 
   00411    0.3804   -1263.0714  0.7980 
   00412    0.4000   -1255.9755  0.7959 
   00413    0.3839   -1235.8878  0.7983 
   00414    0.3661   -1238.8899  0.7941 
   00415    0.4107   -1223.4428  0.7966 
   00416    0.4232   -1257.6590  0.8010 
   00417    0.4000   -1259.5125  0.7924 
   00418    0.4054   -1219.9222  0.7879 
   00419    0.4429   -1239.6709  0.7877 
   00420    0.4232   -1249.8444  0.8073 
   00421    0.4018   -1256.5094  0.8098 
   00422    0.3982   -1258.1036  0.8052 
   00423    0.3500   -1268.0501  0.8220 
   00424    0.3804   -1295.4218  0.8310 
   00425    0.4054   -1282.6130  0.8270 
   00426    0.3893   -1277.6242  0.8271 
   00427    0.4000   -1260.1032  0.8056 
   00428    0.4107   -1273.6229  0.8230 
   00429    0.4089   -1268.4035  0.8279 
   00430    0.3946   -1291.5628  0.8375 
   00431    0.4143   -1316.8681  0.8431 
   00432    0.4143   -1281.1544  0.8289 
   00433    0.3875   -1283.9495  0.8260 
   00434    0.3518   -1284.3842  0.8277 
   00435    0.3946   -1294.9973  0.8288 
   00436    0.3964   -1304.1899  0.8323 
   00437    0.4339   -1265.7982  0.8227 
   00438    0.4143   -1240.7968  0.8102 
   00439    0.3911   -1216.0535  0.7998 
   00440    0.4393   -1226.0722  0.8064 
   00441    0.4161   -1233.9846  0.8060 
   00442    0.3893   -1237.6097  0.8097 
   00443    0.4179   -1244.2972  0.8132 
   00444    0.3982   -1228.1244  0.8044 
   00445    0.3929   -1224.1908  0.7944 
   00446    0.4089   -1252.5848  0.8142 
   00447    0.4089   -1244.8722  0.8105 
   00448    0.4018   -1248.0561  0.8155 
   00449    0.4232   -1266.8989  0.8179 
