#=====================================================
# File created:        Mon-03-Nov-2025-at-08-56-57PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        9.412859
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -368.6311  0.2817 
   00001    0.7045    -593.1748  0.2966 
   00002    0.6273    -744.8027  0.2832 
   00003    0.5409    -816.9872  0.3245 
   00004    0.4841    -880.2294  0.3312 
   00005    0.5614    -922.7323  0.3097 
   00006    0.5455    -988.6179  0.3547 
   00007    0.5000   -1039.0382  0.3562 
   00008    0.4500   -1053.3877  0.3531 
   00009    0.4477   -1066.3819  0.3494 
   00010    0.4659   -1063.8911  0.3481 
   00011    0.4795   -1065.6335  0.3583 
   00012    0.4636   -1084.2696  0.3500 
   00013    0.4295   -1085.6238  0.3495 
   00014    0.4818   -1085.2397  0.3508 
   00015    0.4114   -1107.3922  0.3410 
   00016    0.4705   -1129.1065  0.3316 
   00017    0.4273   -1178.6263  0.3495 
   00018    0.4091   -1174.6223  0.3480 
   00019    0.4432   -1174.1072  0.3465 
   00020    0.4227   -1187.8795  0.3468 
   00021    0.4295   -1201.3901  0.3704 
   00022    0.4045   -1173.0068  0.3652 
   00023    0.4250   -1171.9018  0.3538 
   00024    0.3955   -1197.5341  0.3606 
   00025    0.3773   -1217.9377  0.3654 
   00026    0.4295   -1217.9208  0.3774 
   00027    0.3977   -1224.6819  0.3645 
   00028    0.4250   -1195.9515  0.3613 
   00029    0.4250   -1209.5307  0.3600 
   00030    0.3795   -1210.6656  0.3737 
   00031    0.4477   -1225.6931  0.3785 
   00032    0.3977   -1212.5941  0.3573 
   00033    0.4182   -1180.0694  0.3472 
   00034    0.4614   -1188.9230  0.3793 
   00035    0.4227   -1211.0104  0.3849 
   00036    0.4091   -1198.3563  0.3994 
   00037    0.4091   -1217.9006  0.4085 
   00038    0.4000   -1210.4278  0.4045 
   00039    0.3682   -1203.2963  0.4143 
   00040    0.4523   -1160.8828  0.4028 
   00041    0.4205   -1143.4039  0.4216 
   00042    0.4205   -1140.7654  0.4321 
   00043    0.4659   -1127.7317  0.4378 
   00044    0.4523   -1127.3469  0.4356 
   00045    0.4364   -1126.6613  0.4306 
   00046    0.4455   -1122.5770  0.4263 
   00047    0.4045   -1138.6251  0.4447 
   00048    0.4591   -1131.0977  0.4247 
   00049    0.4659   -1147.1840  0.4260 
   00050    0.4409   -1130.3724  0.4206 
   00051    0.4273   -1141.8410  0.4154 
   00052    0.4886   -1145.5723  0.4057 
   00053    0.4568   -1173.8007  0.4051 
   00054    0.4409   -1165.9215  0.4063 
   00055    0.4477   -1174.9227  0.4038 
   00056    0.4386   -1182.1392  0.4094 
   00057    0.4182   -1174.8702  0.4107 
   00058    0.4500   -1195.7911  0.4140 
   00059    0.4068   -1199.0908  0.4155 
   00060    0.4091   -1202.5001  0.4140 
   00061    0.4114   -1191.9866  0.3961 
   00062    0.4750   -1184.6288  0.4092 
   00063    0.3795   -1206.3107  0.4091 
   00064    0.4273   -1181.1076  0.4181 
   00065    0.4386   -1183.7347  0.4056 
   00066    0.4545   -1193.7339  0.3785 
   00067    0.4750   -1199.4054  0.3935 
   00068    0.4205   -1198.6481  0.3831 
   00069    0.4318   -1207.3318  0.4029 
   00070    0.4500   -1190.3351  0.4004 
   00071    0.4023   -1201.7129  0.3867 
   00072    0.4591   -1195.1047  0.3711 
   00073    0.4500   -1176.1985  0.3793 
   00074    0.4182   -1175.4312  0.3674 
   00075    0.4227   -1158.8501  0.3614 
   00076    0.4318   -1136.6206  0.3825 
   00077    0.4136   -1184.3742  0.3904 
   00078    0.4136   -1193.4239  0.3972 
   00079    0.4250   -1177.4570  0.4010 
   00080    0.4250   -1194.3370  0.4025 
   00081    0.4159   -1191.0355  0.4146 
   00082    0.4500   -1203.6962  0.4133 
   00083    0.4159   -1206.3539  0.4216 
   00084    0.4273   -1192.9441  0.4125 
   00085    0.4182   -1193.4309  0.4030 
   00086    0.4182   -1198.0735  0.3740 
   00087    0.4318   -1180.3484  0.3690 
   00088    0.4114   -1213.2244  0.3508 
   00089    0.4455   -1204.9835  0.3537 
   00090    0.4273   -1216.0051  0.3343 
   00091    0.4364   -1206.5142  0.3441 
   00092    0.4182   -1182.7112  0.3492 
   00093    0.4409   -1182.1579  0.3509 
   00094    0.4295   -1179.0921  0.3574 
   00095    0.4455   -1181.9788  0.3518 
   00096    0.4159   -1208.5173  0.3552 
   00097    0.4023   -1228.7580  0.3633 
   00098    0.4705   -1201.7278  0.3654 
   00099    0.4477   -1199.6085  0.3870 
   00100    0.4295   -1211.1479  0.3814 
   00101    0.4477   -1213.5443  0.3826 
   00102    0.3750   -1215.8862  0.3844 
   00103    0.4091   -1222.9391  0.3760 
   00104    0.4273   -1238.7067  0.3717 
   00105    0.4023   -1211.2155  0.3711 
   00106    0.4205   -1212.9610  0.3733 
   00107    0.3636   -1211.6496  0.3626 
   00108    0.4341   -1225.3596  0.3536 
   00109    0.4568   -1236.4539  0.3433 
   00110    0.3705   -1256.5352  0.3357 
   00111    0.4182   -1271.5318  0.3244 
   00112    0.3636   -1258.9628  0.3248 
   00113    0.3636   -1245.7671  0.3363 
   00114    0.4023   -1224.0519  0.3641 
   00115    0.3909   -1214.8338  0.3729 
   00116    0.4273   -1237.3361  0.3656 
   00117    0.4523   -1240.5003  0.3750 
   00118    0.4227   -1250.7629  0.3823 
   00119    0.4136   -1232.5919  0.3815 
   00120    0.3773   -1228.6135  0.3840 
   00121    0.4500   -1210.6793  0.4069 
   00122    0.3932   -1208.7904  0.4118 
   00123    0.4205   -1207.4153  0.4221 
   00124    0.4455   -1174.7695  0.4077 
   00125    0.4159   -1203.6053  0.4363 
   00126    0.3977   -1201.1217  0.4193 
   00127    0.4182   -1200.8971  0.4334 
   00128    0.4477   -1235.3170  0.4285 
   00129    0.4023   -1206.7761  0.4326 
   00130    0.4273   -1208.5353  0.4239 
   00131    0.4295   -1216.0089  0.4412 
   00132    0.4068   -1184.0138  0.4484 
   00133    0.4250   -1190.2486  0.4637 
   00134    0.4227   -1185.8012  0.4492 
   00135    0.4295   -1205.2385  0.4483 
   00136    0.4341   -1180.3556  0.4369 
   00137    0.4114   -1192.5407  0.4352 
   00138    0.4159   -1224.3473  0.4309 
   00139    0.3955   -1236.3727  0.4346 
   00140    0.4386   -1241.7073  0.4375 
   00141    0.4409   -1206.5397  0.4333 
   00142    0.3886   -1233.0959  0.4358 
   00143    0.4182   -1223.7036  0.4431 
   00144    0.4455   -1200.2578  0.4172 
   00145    0.4273   -1206.7473  0.4304 
   00146    0.4227   -1214.0180  0.4388 
   00147    0.4614   -1200.3329  0.4231 
   00148    0.4364   -1225.6231  0.4278 
   00149    0.3886   -1215.4046  0.4260 
   00150    0.4205   -1198.5530  0.4465 
   00151    0.4386   -1222.8572  0.4516 
   00152    0.4136   -1234.3530  0.4527 
   00153    0.4318   -1211.2220  0.4503 
   00154    0.4136   -1219.0069  0.4525 
   00155    0.4159   -1222.8088  0.4431 
   00156    0.4023   -1238.1795  0.4425 
   00157    0.4114   -1245.6917  0.4442 
   00158    0.3500   -1243.4973  0.4501 
   00159    0.4000   -1259.0648  0.4217 
   00160    0.4068   -1234.2381  0.4153 
   00161    0.4136   -1240.7805  0.4124 
   00162    0.4136   -1234.2703  0.4157 
   00163    0.4114   -1241.5298  0.3980 
   00164    0.4023   -1241.3549  0.3901 
   00165    0.4136   -1228.5554  0.3732 
   00166    0.4273   -1211.2190  0.3730 
   00167    0.4250   -1222.5671  0.3724 
   00168    0.4500   -1218.1715  0.3622 
   00169    0.4136   -1218.5847  0.3651 
   00170    0.3955   -1217.4017  0.3659 
   00171    0.4386   -1215.2157  0.3606 
   00172    0.4682   -1207.7415  0.3575 
   00173    0.4500   -1212.2565  0.3771 
   00174    0.4455   -1215.8348  0.3589 
   00175    0.3886   -1221.5432  0.3617 
   00176    0.4455   -1236.2905  0.3733 
   00177    0.3955   -1229.6391  0.3792 
   00178    0.4545   -1245.7498  0.3708 
   00179    0.4409   -1213.8705  0.3527 
   00180    0.4159   -1222.4175  0.3675 
   00181    0.4477   -1219.8554  0.3675 
   00182    0.3636   -1209.3925  0.3734 
   00183    0.4432   -1181.8199  0.3731 
   00184    0.4023   -1186.2791  0.3811 
   00185    0.4273   -1199.8225  0.3888 
   00186    0.4068   -1209.6027  0.4163 
   00187    0.4386   -1205.7884  0.4433 
   00188    0.4250   -1206.3954  0.4250 
