#=====================================================
# File created:        Sun-26-Oct-2025-at-07-08-21PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.709242
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00140    0.4175   -1256.2684  0.5850 
   00141    0.4125   -1256.7440  0.5828 
   00142    0.4025   -1247.9741  0.5818 
   00143    0.3850   -1237.6061  0.5735 
   00144    0.4200   -1268.5383  0.5815 
   00145    0.3500   -1236.6528  0.5602 
   00146    0.4675   -1228.7880  0.5782 
   00147    0.4325   -1238.6602  0.5807 
   00148    0.3975   -1249.3816  0.5810 
   00149    0.3775   -1248.9036  0.5916 
   00150    0.3925   -1243.8825  0.5888 
   00151    0.3925   -1219.9373  0.5821 
   00152    0.4050   -1223.2252  0.5855 
   00153    0.3825   -1216.6248  0.5876 
   00154    0.4200   -1218.7700  0.5953 
   00155    0.4100   -1221.8273  0.5963 
   00156    0.4025   -1209.2175  0.5966 
   00157    0.4125   -1221.6198  0.5964 
   00158    0.4675   -1242.2885  0.6051 
   00159    0.3950   -1237.7608  0.5870 
   00160    0.3850   -1247.7194  0.5943 
   00161    0.4275   -1255.3341  0.5887 
   00162    0.4400   -1270.0166  0.6077 
   00163    0.3625   -1254.9058  0.6116 
   00164    0.3800   -1246.2114  0.6073 
   00165    0.4375   -1239.4754  0.6076 
   00166    0.3325   -1246.9339  0.6216 
   00167    0.4300   -1249.9614  0.6219 
   00168    0.3950   -1255.8450  0.6387 
   00169    0.4025   -1257.5252  0.6302 
   00170    0.4275   -1253.5138  0.6445 
   00171    0.3700   -1256.8125  0.6407 
   00172    0.4025   -1255.3699  0.6345 
   00173    0.4050   -1245.9979  0.6518 
   00174    0.3650   -1253.3487  0.6409 
   00175    0.3975   -1242.4493  0.6323 
   00176    0.4150   -1248.0789  0.6272 
   00177    0.4000   -1245.8108  0.6170 
   00178    0.3975   -1239.8699  0.6257 
   00179    0.4125   -1262.1129  0.6409 
   00180    0.4500   -1196.9290  0.6340 
   00181    0.4000   -1220.5470  0.6488 
   00182    0.4325   -1221.0530  0.6499 
   00183    0.3975   -1220.1797  0.6569 
   00184    0.4225   -1242.7821  0.6585 
   00185    0.4375   -1234.4364  0.6552 
   00186    0.4250   -1208.0988  0.6467 
   00187    0.4075   -1221.7264  0.6457 
   00188    0.3975   -1240.5632  0.6514 
   00189    0.4375   -1245.9369  0.6666 
   00190    0.3950   -1232.1893  0.6724 
   00191    0.4450   -1245.4564  0.6804 
   00192    0.3575   -1249.8393  0.6851 
   00193    0.3950   -1250.8595  0.7013 
   00194    0.4100   -1247.7060  0.7126 
   00195    0.4100   -1253.8116  0.6924 
   00196    0.4350   -1260.8957  0.6973 
   00197    0.3925   -1277.8654  0.7018 
   00198    0.3975   -1304.7318  0.7176 
   00199    0.4100   -1284.9974  0.7145 
   00200    0.3875   -1285.5977  0.7108 
   00201    0.3950   -1277.4756  0.7078 
   00202    0.3800   -1290.1560  0.7132 
   00203    0.4175   -1284.8348  0.7110 
   00204    0.4100   -1274.6535  0.7022 
   00205    0.3675   -1266.7390  0.7145 
   00206    0.4250   -1243.0597  0.7016 
   00207    0.3575   -1259.3510  0.7015 
   00208    0.3950   -1250.0620  0.7115 
   00209    0.4200   -1268.2246  0.7200 
   00210    0.3775   -1269.3122  0.7204 
   00211    0.4050   -1252.5193  0.7071 
   00212    0.4500   -1265.6602  0.7147 
   00213    0.4175   -1291.3191  0.7371 
   00214    0.3675   -1316.6394  0.7478 
   00215    0.3925   -1311.2565  0.7437 
   00216    0.3475   -1320.9384  0.7466 
   00217    0.4450   -1315.8487  0.7562 
   00218    0.3850   -1329.3513  0.7746 
   00219    0.3475   -1309.2514  0.7715 
   00220    0.4300   -1298.3327  0.7648 
   00221    0.4025   -1314.6870  0.7737 
   00222    0.4175   -1323.6607  0.7811 
   00223    0.3825   -1322.5669  0.7701 
   00224    0.4125   -1296.0232  0.7623 
   00225    0.3800   -1290.3011  0.7561 
   00226    0.3675   -1276.3971  0.7383 
   00227    0.3875   -1271.5829  0.7459 
   00228    0.3875   -1281.0438  0.7503 
   00229    0.3350   -1261.5643  0.7469 
   00230    0.4500   -1263.5134  0.7453 
   00231    0.4175   -1263.7448  0.7418 
   00232    0.3950   -1294.8554  0.7805 
   00233    0.3875   -1280.9759  0.7926 
   00234    0.3825   -1272.2525  0.7759 
   00235    0.3800   -1275.3619  0.7805 
   00236    0.3850   -1281.5286  0.7844 
   00237    0.3875   -1296.9310  0.7824 
   00238    0.3950   -1306.1638  0.7747 
   00239    0.3975   -1325.7954  0.7803 
   00240    0.4075   -1302.3201  0.7732 
   00241    0.3775   -1308.0199  0.7662 
   00242    0.3750   -1293.3152  0.7728 
   00243    0.3775   -1292.2507  0.7819 
   00244    0.3975   -1314.7205  0.7938 
   00245    0.4025   -1318.3315  0.7886 
   00246    0.3875   -1316.3183  0.7977 
   00247    0.3925   -1297.2778  0.8058 
   00248    0.3800   -1292.3274  0.8029 
   00249    0.3775   -1301.6171  0.8126 
   00250    0.4025   -1304.3455  0.8056 
   00251    0.4050   -1271.9934  0.8077 
   00252    0.4525   -1269.6577  0.8002 
   00253    0.4125   -1283.3793  0.8139 
   00254    0.4225   -1264.6628  0.8105 
   00255    0.4225   -1282.6801  0.8166 
   00256    0.4300   -1282.9085  0.8058 
   00257    0.3675   -1298.4230  0.8076 
   00258    0.4175   -1297.5501  0.8035 
   00259    0.3775   -1279.8848  0.7972 
   00260    0.4075   -1282.4365  0.7859 
   00261    0.3850   -1288.1845  0.7977 
   00262    0.4025   -1273.8478  0.7976 
   00263    0.3750   -1264.0464  0.7885 
   00264    0.4200   -1264.6088  0.7866 
   00265    0.4475   -1272.0448  0.7943 
   00266    0.4275   -1281.1245  0.8017 
   00267    0.4025   -1297.3342  0.8135 
   00268    0.3775   -1298.8198  0.8112 
   00269    0.3700   -1274.9675  0.8074 
   00270    0.4075   -1267.9052  0.7984 
   00271    0.3600   -1261.3467  0.7934 
   00272    0.4000   -1294.5986  0.7932 
   00273    0.3925   -1275.8048  0.7911 
   00274    0.3625   -1278.1162  0.7746 
   00275    0.3925   -1275.5918  0.7786 
   00276    0.4025   -1291.9516  0.7907 
   00277    0.4225   -1289.4417  0.7963 
   00278    0.4100   -1280.4347  0.7979 
   00279    0.3900   -1278.6186  0.8041 
   00280    0.4425   -1265.7430  0.8027 
   00281    0.4025   -1276.1365  0.8172 
   00282    0.3725   -1277.7702  0.8262 
   00283    0.4000   -1285.6503  0.8336 
   00284    0.4325   -1296.5089  0.8306 
   00285    0.4225   -1291.8380  0.8233 
   00286    0.4300   -1313.9594  0.8392 
   00287    0.3900   -1316.8708  0.8453 
   00288    0.3925   -1305.4628  0.8351 
   00289    0.4175   -1324.7362  0.8374 
   00290    0.3775   -1330.3772  0.8401 
   00291    0.3950   -1295.1854  0.8341 
   00292    0.3900   -1282.1896  0.8224 
   00293    0.3650   -1291.2600  0.8172 
   00294    0.4150   -1311.3569  0.8099 
   00295    0.4150   -1301.5422  0.8026 
   00296    0.3475   -1302.1183  0.8157 
   00297    0.3975   -1304.1638  0.8221 
   00298    0.4150   -1261.9139  0.8020 
   00299    0.3775   -1289.5354  0.8029 
   00300    0.3700   -1305.7177  0.8105 
   00301    0.3850   -1304.4678  0.8118 
   00302    0.3775   -1302.2295  0.8096 
   00303    0.3975   -1315.6587  0.8101 
   00304    0.3775   -1319.3533  0.8127 
   00305    0.4250   -1300.8721  0.8114 
   00306    0.3825   -1321.7297  0.8183 
   00307    0.3900   -1318.8234  0.8058 
   00308    0.4300   -1318.7368  0.8117 
   00309    0.3850   -1314.6532  0.8130 
   00310    0.3675   -1321.5221  0.8171 
   00311    0.3275   -1297.2346  0.8072 
   00312    0.3875   -1294.2578  0.8099 
   00313    0.3800   -1317.1143  0.8298 
   00314    0.4275   -1311.7658  0.8356 
   00315    0.4675   -1306.5514  0.8302 
   00316    0.4200   -1304.4780  0.8245 
   00317    0.4000   -1317.0086  0.8325 
   00318    0.4200   -1294.2776  0.8158 
   00319    0.4075   -1305.6307  0.8145 
   00320    0.4550   -1287.4018  0.8134 
   00321    0.4375   -1278.8254  0.8015 
   00322    0.4175   -1271.7630  0.8067 
   00323    0.4650   -1282.2235  0.8139 
   00324    0.3700   -1298.5059  0.8337 
   00325    0.3850   -1297.5814  0.8417 
   00326    0.3625   -1264.5026  0.8325 
   00327    0.4300   -1271.1480  0.8326 
   00328    0.3900   -1261.0783  0.8253 
   00329    0.3950   -1272.2802  0.8228 
   00330    0.3975   -1269.5970  0.8306 
   00331    0.4050   -1306.7897  0.8440 
   00332    0.4225   -1311.5581  0.8413 
   00333    0.4300   -1319.4549  0.8425 
   00334    0.3700   -1335.1734  0.8451 
   00335    0.3275   -1316.3015  0.8391 
   00336    0.3950   -1302.0900  0.8245 
   00337    0.3750   -1322.4952  0.8235 
   00338    0.3850   -1290.9542  0.8014 
   00339    0.3975   -1300.6057  0.8204 
   00340    0.3800   -1292.4678  0.8122 
   00341    0.3850   -1272.3069  0.7992 
   00342    0.4050   -1264.0541  0.7994 
   00343    0.4475   -1269.4804  0.8145 
   00344    0.3800   -1275.0024  0.8004 
   00345    0.3450   -1272.9952  0.8023 
   00346    0.4225   -1273.7124  0.7960 
   00347    0.4025   -1264.7683  0.7801 
   00348    0.4375   -1265.4501  0.7838 
   00349    0.3750   -1290.8987  0.7906 
   00350    0.3725   -1290.7359  0.8043 
   00351    0.3900   -1289.7732  0.8016 
   00352    0.3675   -1288.8211  0.7972 
   00353    0.3675   -1276.2619  0.7817 
   00354    0.4050   -1290.4087  0.7877 
   00355    0.4150   -1290.1688  0.7894 
   00356    0.3575   -1298.1180  0.8014 
   00357    0.3425   -1298.5406  0.7983 
   00358    0.3700   -1282.3401  0.7860 
   00359    0.3725   -1273.5688  0.7911 
   00360    0.4025   -1260.8457  0.7711 
   00361    0.4125   -1280.9959  0.7861 
   00362    0.4050   -1277.7851  0.7826 
   00363    0.4325   -1292.8494  0.7971 
   00364    0.3625   -1277.3508  0.8055 
   00365    0.3700   -1264.1408  0.8071 
   00366    0.3800   -1265.1794  0.8029 
   00367    0.3475   -1279.4773  0.8037 
   00368    0.4100   -1275.2076  0.8040 
   00369    0.3900   -1269.6218  0.8026 
   00370    0.4400   -1257.3665  0.7931 
   00371    0.4350   -1274.4049  0.7985 
   00372    0.4150   -1267.1714  0.7845 
   00373    0.4025   -1276.8319  0.7920 
   00374    0.3825   -1269.0587  0.7767 
   00375    0.4150   -1265.3122  0.7972 
   00376    0.4100   -1278.6395  0.8046 
   00377    0.4125   -1282.2121  0.8073 
   00378    0.4150   -1278.6565  0.8060 
   00379    0.4125   -1287.0898  0.8089 
   00380    0.4225   -1291.3730  0.8179 
   00381    0.3900   -1306.8848  0.8219 
   00382    0.3925   -1322.8039  0.8386 
   00383    0.4150   -1304.6359  0.8267 
   00384    0.3875   -1309.2169  0.8333 
   00385    0.3775   -1315.8957  0.8368 
   00386    0.3725   -1296.7233  0.8267 
   00387    0.4000   -1308.1914  0.8195 
   00388    0.3900   -1292.8476  0.8292 
   00389    0.3850   -1290.7228  0.8355 
   00390    0.3700   -1306.4292  0.8401 
   00391    0.3850   -1346.8997  0.8527 
   00392    0.4425   -1346.0412  0.8573 
   00393    0.4000   -1323.5111  0.8539 
   00394    0.3675   -1334.1010  0.8556 
   00395    0.3700   -1336.3259  0.8483 
   00396    0.4150   -1326.3193  0.8454 
   00397    0.3850   -1295.1958  0.8395 
   00398    0.3950   -1308.4579  0.8391 
   00399    0.3875   -1297.2162  0.8364 
   00400    0.4175   -1285.9653  0.8385 
   00401    0.3725   -1310.1227  0.8510 
   00402    0.3925   -1300.1831  0.8490 
   00403    0.4025   -1298.8624  0.8474 
   00404    0.3900   -1296.6502  0.8444 
   00405    0.3875   -1292.7654  0.8521 
   00406    0.4100   -1287.7812  0.8534 
   00407    0.3800   -1276.7149  0.8431 
   00408    0.4000   -1290.0051  0.8481 
   00409    0.4150   -1299.2173  0.8606 
   00410    0.4025   -1314.0021  0.8655 
   00411    0.4400   -1286.9425  0.8507 
   00412    0.4125   -1293.7761  0.8423 
   00413    0.4250   -1280.7965  0.8424 
   00414    0.3575   -1283.8251  0.8470 
   00415    0.3975   -1295.0638  0.8415 
   00416    0.4175   -1311.8581  0.8526 
   00417    0.4425   -1296.3687  0.8521 
   00418    0.3975   -1304.2618  0.8528 
   00419    0.3975   -1303.2973  0.8457 
   00420    0.3725   -1307.4853  0.8593 
   00421    0.4275   -1282.1797  0.8500 
   00422    0.3925   -1283.5644  0.8388 
   00423    0.3800   -1282.3737  0.8286 
   00424    0.3900   -1262.4196  0.8181 
   00425    0.4025   -1258.9268  0.8055 
   00426    0.4300   -1256.8540  0.8124 
   00427    0.4200   -1280.2855  0.8200 
   00428    0.3875   -1308.9522  0.8440 
   00429    0.3875   -1328.6780  0.8485 
   00430    0.4225   -1311.1503  0.8350 
   00431    0.4550   -1301.9109  0.8236 
   00432    0.4500   -1294.9514  0.8242 
   00433    0.4175   -1281.4520  0.8220 
   00434    0.4175   -1291.5357  0.8225 
   00435    0.3950   -1273.6500  0.8101 
   00436    0.4075   -1250.1015  0.8096 
   00437    0.4125   -1266.4956  0.8021 
   00438    0.3850   -1264.8797  0.8039 
   00439    0.3825   -1263.4941  0.7976 
   00440    0.4025   -1275.3409  0.8037 
   00441    0.3625   -1252.1762  0.7812 
   00442    0.3825   -1239.2497  0.7783 
   00443    0.4125   -1229.6033  0.7808 
   00444    0.4075   -1245.9037  0.7755 
   00445    0.4275   -1253.4114  0.7651 
   00446    0.3875   -1243.6477  0.7629 
   00447    0.3575   -1247.5930  0.7493 
   00448    0.4025   -1251.7204  0.7408 
   00449    0.3925   -1242.1623  0.7445 
